experiment_name,hidden_layers,learning_rate,batch_size,momentum,epochs,final_test_accuracy,final_validation_accuracy,best_test_accuracy,best_validation_accuracy,final_loss,min_loss
baseline,"[64, 32]",0.001,64,0.9,32,96.45,96.48,96.45,96.52,0.0937,0.0807
small_9,[9],0.001,64,0.9,32,91.99,91.62,92.15,91.62,0.2572,0.2369
small_4,[4],0.001,64,0.9,32,83.53,83.97,83.53,83.97,0.5174,0.4999
small_1,[1],0.001,64,0.9,32,30.00,29.59,31.73,31.34,1.6707,1.6530
small_9_9,"[9, 9]",0.001,64,0.9,32,91.46,91.28,91.83,91.58,0.2630,0.2441
small_4_4,"[4, 4]",0.001,64,0.9,32,86.63,86.38,86.88,86.55,0.4798,0.4370
small_1_1,"[1, 1]",0.001,64,0.9,32,11.35,11.06,11.35,11.06,2.3008,2.2991
